,geometry,Grid_ID,mbu_endemism,mbu_wege,mbu_shannon_index,mbu_simpson_index,mbu_species_richness,mbu_habitats_survey
0,POINT (-87.14513223002524 2.150633987998694),1551,0.12589837608838653,0.7923448746204668,0.0,0.0,0.0004091653027823241,0.5
1,"POLYGON ((-87.1218858371038 2.150841882051809, -87.09700586479134 2.193935258187916, -87.04700586479133 2.193935258187916, -87.02263833534128 2.151729459125493, -87.07098333703998 2.151297106528471, -87.0874947948151 2.151149443452685, -87.1218858371038 2.150841882051809))",1605,0.1267051190849133,0.7818562632112708,0.0,0.0,0.0004091653027823241,0.5
2,"POLYGON ((-86.97110732509177 2.152190304410956, -86.94700586479134 2.193935258187916, -86.89700586479132 2.193935258187916, -86.8750198689377 2.155854396314432, -86.87794320979333 2.155652773498366, -86.94320621596543 2.1524398259037, -86.97110732509177 2.152190304410956))",1712,0.1267051190849133,0.7818562632112708,0.0,0.0,0.0004091653027823241,0.5
3,"POLYGON ((-86.81666831048459 2.159878903246114, -86.79700586479133 2.193935258187916, -86.74700586479132 2.193935258187916, -86.73182865854359 2.167647565849895, -86.74766819319416 2.165926669356771, -86.8127562014655 2.160148721401484, -86.81666831048459 2.159878903246114))",1819,0.12705215899673244,0.7855129422808426,0.0,0.0,0.0004091653027823241,0.5
4,"POLYGON ((-87.22185329528831 2.193935258187916, -87.19700586479134 2.193935258187916, -87.18499555991335 2.173132799924835, -87.2204519649305 2.193144349143054, -87.22185329528831 2.193935258187916))",1498,0.12664284596436753,0.7924361777181349,0.0,0.0,0.0004091653027823241,0.5
5,"POLYGON ((-86.65720898695746 2.176262932200333, -86.64700586479132 2.193935258187916, -86.59700586479131 2.193935258187916, -86.591947879906 2.185174571382649, -86.61789017335173 2.181318566315083, -86.65720898695746 2.176262932200333))",1926,0.12645837103709662,0.7818399630460198,0.0,0.0,0.0004091653027823241,0.5
6,"POLYGON ((-87.18499555991335 2.173132799924835, -87.19700586479134 2.193935258187916, -87.17200586479134 2.237236528377138, -87.12200586479133 2.237236528377138, -87.09700586479134 2.193935258187916, -87.1218858371038 2.150841882051809, -87.14513223002524 2.150633987998694, -87.18499555991335 2.173132799924835))",1552,0.12709058026916858,0.8173618508368187,-0.0,0.0,0.0004091653027823241,0.5
7,"POLYGON ((-87.02263833534128 2.151729459125493, -87.04700586479133 2.193935258187916, -87.02200586479134 2.237236528377138, -86.97200586479133 2.237236528377138, -86.94700586479134 2.193935258187916, -86.97110732509177 2.152190304410956, -87.01087439137103 2.151834664866481, -87.02016834758363 2.151751548391893, -87.02263833534128 2.151729459125493))",1659,0.12748680256613812,0.7855435965456005,0.0,0.0,0.0004091653027823241,0.5
8,"POLYGON ((-86.8750198689377 2.155854396314432, -86.89700586479132 2.193935258187916, -86.87200586479133 2.237236528377138, -86.82200586479132 2.237236528377138, -86.79700586479133 2.193935258187916, -86.81666831048459 2.159878903246114, -86.87089029413404 2.15613921308476, -86.8750198689377 2.155854396314432))",1766,0.12748680256613812,0.7855435965456005,0.0,0.0,0.0004091653027823241,0.5
9,"POLYGON ((-86.73182865854359 2.167647565849895, -86.74700586479132 2.193935258187916, -86.72200586479133 2.237236528377138, -86.67200586479132 2.237236528377138, -86.64700586479132 2.193935258187916, -86.65720898695746 2.176262932200333, -86.68270518370258 2.172984617565676, -86.73182865854359 2.167647565849895))",1873,0.12705215899673244,0.7855129422808426,0.0,0.0,0.0004091653027823241,0.5
10,"POLYGON ((-86.591947879906 2.185174571382649, -86.59700586479131 2.193935258187916, -86.57200586479132 2.237236528377138, -86.52200586479131 2.237236528377138, -86.50041778119157 2.199844870744342, -86.55325016120555 2.190926514622532, -86.591947879906 2.185174571382649))",1980,0.12645837103709662,0.7818399630460198,0.0,0.0,0.0004091653027823241,0.5
11,"POLYGON ((-86.43678229364367 2.211643002850425, -86.42200586479132 2.237236528377138, -86.3720058647913 2.237236528377138, -86.36568693307807 2.226291817600252, -86.42459113501114 2.213948412255013, -86.43678229364367 2.211643002850425))",2087,0.12682403190230992,0.7818616494171414,0.0,0.0,0.0004091653027823241,0.6
12,"POLYGON ((-87.29857436055138 2.237236528377138, -87.27200586479134 2.237236528377138, -87.25916366228405 2.214993181153427, -87.2853121858694 2.22975137410781, -87.29857436055138 2.237236528377138))",1445,0.12664284596436753,0.7924361777181349,0.0,0.0,0.0004091653027823241,0.5
13,"POLYGON ((-86.57200586479132 2.237236528377138, -86.59700586479131 2.193935258187916, -86.64700586479132 2.193935258187916, -86.67200586479132 2.237236528377138, -86.64700586479132 2.28053779856636, -86.59700586479131 2.28053779856636, -86.57200586479132 2.237236528377138))",1927,0.12645837103709662,0.7818399630460198,0.0,0.0,0.0004091653027823241,0.6
14,"POLYGON ((-87.02200586479134 2.237236528377138, -87.04700586479133 2.193935258187916, -87.09700586479134 2.193935258187916, -87.12200586479133 2.237236528377138, -87.09700586479134 2.28053779856636, -87.04700586479133 2.28053779856636, -87.02200586479134 2.237236528377138))",1606,0.12748680256613812,0.7855435965456005,0.0,0.0,0.0004091653027823241,0.5
